mz	intensity	present	rsd	present_flag	rsd_flag	flags
162.115006933	8119.52441406	1	nan	0	0	0
162.115333451	8871.13671875	1	nan	0	0	0
162.955683818	17983.8857422	3	19.7995377037	1	1	1
163.045105323	33565.5227865	3	9.44376865209	1	1	1
163.109487395	11953.5247396	3	20.0243805186	1	0	0
163.114073968	12115.3515625	3	15.3885132578	1	1	1
163.114840842	51584.8697917	3	19.8223372867	1	1	1
163.115790869	323912.572917	3	12.1219884464	1	1	1
163.118728646	9707.39355469	1	nan	0	0	0
163.97606083	12946.9156901	3	4.09281409435	1	1	1
163.976867184	46439.2721354	3	17.2609341309	1	1	1
163.977787541	366236.395833	3	5.15492315637	1	1	1
164.116685899	27659.2682292	3	20.7375828671	1	0	0
164.11915584	11556.1030273	2	25.1090901263	1	0	0
164.981174447	9821.16601562	1	nan	0	0	0
165.006952323	8689.39941406	1	nan	0	0	0
165.054577714	8100.13793945	2	9.16336090317	1	1	1
165.973611912	16000.4329427	3	19.0717420408	1	1	1
165.975907473	29617.1477865	3	12.5663705954	1	1	1
166.08623048	59509.6015625	3	5.21726816961	1	1	1
166.949717011	11268.4147135	3	9.78045068936	1	1	1
166.950693026	139115.572917	3	16.0696052755	1	1	1
167.020708966	13406.3492839	3	14.6771269825	1	1	1
167.021701888	173172.182292	3	8.30908370806	1	1	1
167.031442345	10212.2919922	3	7.41049018155	1	1	1
167.040015255	11736.7311198	3	11.9277596418	1	1	1
167.046872798	8570.16992188	2	9.14799858794	1	1	1
167.104272601	9415.96972656	1	nan	0	0	0
168.004721341	8483.72558594	1	nan	0	0	0
168.005710036	75574.0416667	3	4.5012091525	1	1	1
168.025016815	10432.5869141	1	nan	0	0	0
168.94883111	15502.5045573	3	22.3015973973	1	0	0
169.019807332	9413.48095703	3	12.9336496425	1	1	1
169.026094213	12144.7630208	3	24.9276073185	1	0	0
169.057351013	9830.03369141	2	19.7167640684	1	1	1
169.058332484	110002.734375	3	7.62231527745	1	1	1
169.985802491	9384.8359375	2	1.5586251591	1	1	1
170.021366342	8967.4921875	1	nan	0	0	0
170.030843602	16606.9436849	3	4.49419923344	1	1	1
170.031604023	56100.7460938	3	6.86323819643	1	1	1
170.032568345	584179.5	3	3.37996204373	1	1	1
170.042339224	33384.4700521	3	10.7736902851	1	1	1
170.057727847	14398.0136719	3	18.3842916479	1	1	1
170.081164803	14904.5885417	3	13.1612821243	1	1	1
171.035945194	23396.0690104	3	10.5959048074	1	1	1
171.041778453	11986.422526	3	14.3381760954	1	1	1
171.062741594	10509.3457031	3	13.2300054388	1	1	1
171.099121264	9087.4296875	1	nan	0	0	0
172.000651688	29480.1634115	3	15.3914121524	1	1	1
172.030717786	36617.8723958	3	10.78809286	1	1	1
172.133175557	14113.655599	3	5.02225360572	1	1	1
172.984668663	54406.7877604	3	6.20006189068	1	1	1
173.04199369	9494.15625	3	8.9996555869	1	1	1
173.057437217	9584.5843099	3	21.144661519	1	0	0
173.080811845	76690.6276042	3	5.44292849941	1	1	1
